Order_ID,Order_Date,Customer_ID,Customer_Name,City,Product,Category,Quantity,Price,Payment_Method,Total_Sales,Profit,Discount,Sub_Category
1000,2023-01-01,151,Ayesha,Lahore,Laptop,Electronics,4,81966,Cash,327864,34592.05982465649,11,Ultrabook
1001,2023-01-02,192,Ahmed,Islamabad,Headphones,Electronics,1,49922,Online,49922,10038.866079265095,5,Wireless
1002,2023-01-03,114,Sara,Islamabad,Tablet,Electronics,1,89364,Card,89364,26166.09031393327,18,Kids Tablet
1003,2023-01-04,171,Usman,Faisalabad,Mobile,Electronics,2,52913,Card,105826,18714.41192168706,3,Budget Phone
1004,2023-01-05,160,Ali,Karachi,Laptop,Electronics,2,65677,Online,131354,14159.856447152988,14,Gaming Laptop
1005,2023-01-06,120,Usman,Islamabad,Laptop,Electronics,4,59841,Cash,239364,25418.34038752355,8,Gaming Laptop
1006,2023-01-07,182,Ayesha,Islamabad,Tablet,Electronics,2,56332,Cash,112664,20008.828064530822,4,Kids Tablet
1007,2023-01-08,186,Usman,Karachi,Headphones,Electronics,2,35032,Card,70064,9248.797429671446,12,Wired
1008,2023-01-09,174,Ali,Islamabad,Tablet,Electronics,4,47846,Card,191384,20032.243520734708,17,Kids Tablet
1009,2023-01-10,174,Ayesha,Lahore,Headphones,Accessories,2,69474,Cash,138948,34909.67384622983,4,Noise Cancelling
1010,2023-01-11,187,Usman,Lahore,Headphones,Accessories,3,54936,Online,164808,31594.45200956133,15,Noise Cancelling
1011,2023-01-12,199,Ayesha,Karachi,Laptop,Accessories,1,39794,Card,39794,6281.441291175963,18,Ultrabook
1012,2023-01-13,123,Ahmed,Faisalabad,Tablet,Electronics,1,71588,Cash,71588,20045.830981156763,13,Android Tablet
1013,2023-01-14,102,Ahmed,Faisalabad,Tablet,Accessories,1,80984,Card,80984,9979.479510575871,15,Kids Tablet
1014,2023-01-15,121,Usman,Karachi,Headphones,Accessories,1,60331,Online,60331,17567.407773940675,14,Wired
1015,2023-01-16,152,Ayesha,Karachi,Tablet,Accessories,4,38141,Cash,152564,24836.40365399169,3,Android Tablet
1016,2023-01-17,101,Ali,Lahore,Mobile,Electronics,1,19074,Card,19074,5296.482329123157,6,iPhone
1017,2023-01-18,187,Usman,Faisalabad,Mobile,Electronics,1,16406,Online,16406,3618.9761663044096,15,iPhone
1018,2023-01-19,129,Ahmed,Islamabad,Tablet,Electronics,1,33291,Card,33291,8833.482942630772,7,iPad
1019,2023-01-20,137,Ahmed,Lahore,Tablet,Electronics,1,51568,Online,51568,15305.518160087444,16,iPad
1020,2023-01-21,101,Usman,Karachi,Headphones,Accessories,3,56851,Online,170553,26892.98252726011,15,Wireless
1021,2023-01-22,163,Ayesha,Faisalabad,Mobile,Accessories,1,64823,Cash,64823,18943.037114115283,9,Android Phone
1022,2023-01-23,159,Ahmed,Islamabad,Mobile,Accessories,3,33312,Online,99936,17778.252529793655,9,iPhone
1023,2023-01-24,120,Ayesha,Islamabad,Laptop,Accessories,4,53108,Card,212432,37622.21298941477,1,Business Laptop
1024,2023-01-25,132,Ahmed,Lahore,Headphones,Electronics,2,76918,Online,153836,25856.358114019225,8,Wireless
1025,2023-01-26,175,Ahmed,Faisalabad,Laptop,Electronics,1,44171,Online,44171,9200.003084830038,16,Gaming Laptop
1026,2023-01-27,157,Sara,Faisalabad,Mobile,Electronics,2,51779,Cash,103558,13548.390476295552,10,Android Phone
1027,2023-01-28,121,Ahmed,Karachi,Headphones,Accessories,2,78828,Online,157656,33224.787587120525,9,Noise Cancelling
1028,2023-01-29,188,Ali,Faisalabad,Tablet,Electronics,4,22411,Online,89644,18676.51724073648,16,Kids Tablet
1029,2023-01-30,148,Usman,Faisalabad,Headphones,Electronics,2,67009,Card,134018,33823.511424335884,3,Noise Cancelling
1030,2023-01-31,190,Usman,Lahore,Tablet,Accessories,3,25422,Cash,76266,20342.429599426378,15,iPad
1031,2023-02-01,158,Ayesha,Faisalabad,Tablet,Accessories,2,52468,Cash,104936,19737.230707276904,19,Kids Tablet
1032,2023-02-02,141,Ahmed,Islamabad,Headphones,Electronics,2,42371,Cash,84742,13598.264843308856,14,Wired
1033,2023-02-03,191,Ali,Lahore,Tablet,Electronics,2,67022,Online,134044,20356.85739519452,4,iPad
1034,2023-02-04,159,Ayesha,Lahore,Laptop,Electronics,1,81229,Cash,81229,11284.719926340009,5,Ultrabook
1035,2023-02-05,179,Sara,Karachi,Mobile,Electronics,1,61196,Online,61196,6825.160288050305,16,iPhone
1036,2023-02-06,114,Ayesha,Faisalabad,Tablet,Electronics,3,90354,Online,271062,45671.126807779016,0,Kids Tablet
1037,2023-02-07,161,Ayesha,Karachi,Laptop,Electronics,3,36715,Card,110145,16967.786409949025,18,Ultrabook
1038,2023-02-08,161,Ahmed,Islamabad,Tablet,Accessories,1,37605,Card,37605,11028.925159101247,3,Android Tablet
1039,2023-02-09,146,Sara,Lahore,Mobile,Accessories,3,41174,Card,123522,26130.061927211584,16,Budget Phone
1040,2023-02-10,161,Ayesha,Lahore,Laptop,Accessories,1,19956,Card,19956,3381.652118178562,8,Gaming Laptop
1041,2023-02-11,150,Ali,Lahore,Mobile,Electronics,4,86373,Card,345492,74658.5824805028,1,Budget Phone
1042,2023-02-12,154,Ali,Islamabad,Mobile,Accessories,2,79252,Online,158504,20263.046790019624,7,Budget Phone
1043,2023-02-13,163,Usman,Islamabad,Laptop,Electronics,2,71949,Online,143898,27169.20148453972,14,Gaming Laptop
1044,2023-02-14,102,Sara,Karachi,Laptop,Electronics,3,72646,Cash,217938,49089.85110837276,6,Gaming Laptop
1045,2023-02-15,150,Sara,Karachi,Laptop,Accessories,1,80017,Online,80017,15825.727561307314,5,Ultrabook
1046,2023-02-16,106,Usman,Karachi,Headphones,Electronics,1,73037,Online,73037,13172.643652677976,0,Wired
1047,2023-02-17,120,Ayesha,Faisalabad,Laptop,Electronics,3,99818,Card,299454,89467.77508991404,14,Gaming Laptop
1048,2023-02-18,172,Sara,Lahore,Laptop,Accessories,1,16548,Online,16548,4568.2897368080885,6,Business Laptop
1049,2023-02-19,138,Ali,Lahore,Laptop,Accessories,4,83294,Card,333176,74858.38070314591,16,Business Laptop
1050,2023-02-20,117,Ali,Karachi,Laptop,Accessories,2,33177,Cash,66354,14191.493084777836,1,Business Laptop
1051,2023-02-21,103,Ahmed,Lahore,Tablet,Electronics,3,34022,Cash,102066,22876.2665067552,8,Android Tablet
1052,2023-02-22,188,Sara,Karachi,Headphones,Accessories,3,15542,Online,46626,6539.875667865755,8,Wired
1053,2023-02-23,159,Ayesha,Faisalabad,Mobile,Accessories,1,70428,Cash,70428,12608.552196523886,12,Android Phone
1054,2023-02-24,113,Usman,Faisalabad,Laptop,Electronics,3,32740,Online,98220,10597.143064108828,5,Business Laptop
1055,2023-02-25,108,Usman,Islamabad,Tablet,Accessories,4,69353,Cash,277412,54125.63547025911,5,Kids Tablet
1056,2023-02-26,189,Ayesha,Faisalabad,Tablet,Accessories,1,66532,Card,66532,13878.90232397425,19,Kids Tablet
1057,2023-02-27,152,Ahmed,Karachi,Tablet,Accessories,1,26052,Card,26052,3791.867224992163,19,Android Tablet
1058,2023-02-28,101,Usman,Faisalabad,Mobile,Electronics,1,57076,Card,57076,16712.182096163775,2,Budget Phone
1059,2023-03-01,183,Sara,Islamabad,Laptop,Electronics,1,63420,Card,63420,17877.522285127976,16,Ultrabook
1060,2023-03-02,191,Ahmed,Lahore,Headphones,Electronics,4,10671,Online,42684,10433.192372439977,16,Wired
1061,2023-03-03,159,Sara,Karachi,Headphones,Electronics,1,10163,Cash,10163,2100.461661628476,11,Wireless
1062,2023-03-04,170,Ali,Lahore,Tablet,Accessories,3,51424,Online,154272,42269.57643943353,15,iPad
1063,2023-03-05,143,Ahmed,Islamabad,Mobile,Electronics,4,63744,Card,254976,32160.24240374625,14,iPhone
1064,2023-03-06,107,Usman,Islamabad,Mobile,Electronics,2,80331,Online,160662,41467.17691355832,12,iPhone
1065,2023-03-07,146,Ahmed,Islamabad,Mobile,Accessories,2,20634,Cash,41268,5157.021070156779,0,iPhone
1066,2023-03-08,134,Ahmed,Lahore,Headphones,Accessories,3,14798,Online,44394,11491.03763064366,16,Wired
1067,2023-03-09,177,Ahmed,Lahore,Tablet,Accessories,3,32420,Cash,97260,15090.230737625396,2,iPad
1068,2023-03-10,180,Ahmed,Lahore,Laptop,Electronics,4,39300,Online,157200,43295.727867211855,14,Business Laptop
1069,2023-03-11,135,Sara,Lahore,Headphones,Electronics,2,99881,Cash,199762,57692.94734934982,3,Wireless
1070,2023-03-12,149,Ali,Islamabad,Tablet,Electronics,2,20749,Cash,41498,5384.747027674698,3,Kids Tablet
1071,2023-03-13,103,Ayesha,Islamabad,Tablet,Accessories,2,35121,Card,70242,13524.051970200671,17,iPad
1072,2023-03-14,101,Ahmed,Karachi,Laptop,Accessories,2,47487,Cash,94974,28131.05905072457,16,Business Laptop
1073,2023-03-15,105,Usman,Karachi,Laptop,Electronics,2,43361,Card,86722,17056.611932492644,18,Business Laptop
1074,2023-03-16,153,Ahmed,Lahore,Laptop,Accessories,1,31223,Card,31223,8514.808859094328,10,Business Laptop
1075,2023-03-17,103,Usman,Faisalabad,Mobile,Accessories,3,82930,Card,248790,54173.10307821021,19,iPhone
1076,2023-03-18,153,Sara,Faisalabad,Laptop,Accessories,1,24056,Online,24056,4211.387252982789,2,Business Laptop
1077,2023-03-19,192,Usman,Islamabad,Tablet,Electronics,2,38380,Online,76760,12063.34914443316,7,Kids Tablet
1078,2023-03-20,162,Ayesha,Islamabad,Laptop,Accessories,4,36035,Online,144140,20272.515269829724,13,Ultrabook
1079,2023-03-21,117,Ali,Islamabad,Tablet,Accessories,4,40620,Online,162480,41003.39402700964,0,iPad
1080,2023-03-22,189,Usman,Karachi,Headphones,Electronics,2,29877,Cash,59754,10594.86828894064,13,Noise Cancelling
1081,2023-03-23,143,Usman,Karachi,Mobile,Electronics,2,65316,Cash,130632,26420.987235641704,1,Android Phone
1082,2023-03-24,133,Ali,Islamabad,Headphones,Accessories,4,74041,Online,296164,58778.21669181401,3,Wired
1083,2023-03-25,173,Ayesha,Islamabad,Headphones,Accessories,1,63352,Cash,63352,13649.556211995465,18,Wireless
1084,2023-03-26,161,Ahmed,Islamabad,Tablet,Electronics,1,40911,Cash,40911,11173.425320929213,5,Android Tablet
1085,2023-03-27,199,Usman,Faisalabad,Headphones,Electronics,2,42784,Card,85568,25340.780830349377,0,Wired
1086,2023-03-28,113,Ali,Karachi,Tablet,Accessories,1,13191,Card,13191,2394.388659059444,16,Kids Tablet
1087,2023-03-29,194,Sara,Faisalabad,Laptop,Accessories,4,43160,Card,172640,45836.57334248643,7,Gaming Laptop
1088,2023-03-30,147,Ali,Faisalabad,Laptop,Accessories,1,74641,Card,74641,18877.123824164555,18,Business Laptop
1089,2023-03-31,114,Sara,Islamabad,Tablet,Accessories,2,59723,Cash,119446,25645.74782711248,0,Android Tablet
1090,2023-04-01,171,Ayesha,Islamabad,Laptop,Electronics,4,13631,Online,54524,15877.902891659409,4,Gaming Laptop
1091,2023-04-02,177,Ahmed,Lahore,Mobile,Accessories,1,16172,Cash,16172,2265.6147730250664,15,Android Phone
1092,2023-04-03,186,Ali,Lahore,Headphones,Accessories,3,52080,Cash,156240,19038.28804375505,5,Wireless
1093,2023-04-04,161,Usman,Faisalabad,Mobile,Electronics,4,99097,Cash,396388,107338.85523150516,7,Budget Phone
1094,2023-04-05,139,Ayesha,Karachi,Headphones,Accessories,4,30281,Card,121124,22750.716477989223,12,Wireless
1095,2023-04-06,184,Ali,Islamabad,Laptop,Electronics,3,38671,Card,116013,31253.17953662474,15,Gaming Laptop
1096,2023-04-07,179,Usman,Islamabad,Mobile,Accessories,3,61431,Card,184293,51347.354637215714,2,Android Phone
1097,2023-04-08,181,Ali,Faisalabad,Laptop,Accessories,4,38602,Online,154408,17369.590423106718,18,Ultrabook
1098,2023-04-09,152,Sara,Lahore,Headphones,Electronics,3,98789,Cash,296367,82002.66028237798,11,Wireless
1099,2023-04-10,123,Ali,Karachi,Tablet,Electronics,2,61399,Online,122798,23290.336672250854,15,Android Tablet
1100,2023-04-11,125,Ali,Lahore,Tablet,Accessories,2,33472,Card,66944,13528.478508779865,10,Kids Tablet
1101,2023-04-12,188,Ali,Lahore,Mobile,Accessories,2,59230,Online,118460,26691.229772820338,9,Budget Phone
1102,2023-04-13,159,Ayesha,Lahore,Laptop,Accessories,4,83616,Cash,334464,95414.72643547434,19,Ultrabook
1103,2023-04-14,140,Ali,Lahore,Laptop,Electronics,3,17099,Cash,51297,5325.819659192721,3,Gaming Laptop
1104,2023-04-15,128,Usman,Islamabad,Mobile,Accessories,3,35431,Card,106293,20766.324555581145,11,Budget Phone
1105,2023-04-16,114,Sara,Islamabad,Tablet,Electronics,1,66492,Card,66492,15794.802809058569,1,Kids Tablet
1106,2023-04-17,144,Sara,Lahore,Headphones,Electronics,1,57684,Online,57684,14106.125629572922,18,Wireless
